# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        3.1119280001    -3071.5729601700
        3.0119280001    -3071.5711443800
        2.9119280001    -3071.5684761400
        2.8119280001    -3071.5647772900
        2.7119280001    -3071.5599389900
        2.6119280001    -3071.5541634800
        2.5119280001    -3071.5493453800
        2.4119280001    -3071.5498095600
        2.3119280001    -3071.5528627900
        2.2119280001    -3071.5567708800
        2.1119280001    -3071.5603492700
        2.0119280001    -3071.5621638200
        1.9119280001    -3071.5601740900
        1.8119280001    -3071.5513388200
        1.7119280001    -3071.5310703700
        1.6119280001    -3071.4924550900
