# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        2.9999956255    -3056.8209422200
        2.8999956255    -3056.8203065900
        2.7999956255    -3056.8190170500
        2.6999956255    -3056.8169105200
        2.5999956255    -3056.8138977000
        2.4999956255    -3056.8101517300
        2.3999956255    -3056.8066018900
        2.2999956255    -3056.8053113700
        2.1999956255    -3056.8064764100
        2.0999956255    -3056.8083929500
        1.9999956255    -3056.8094720600
        1.8999956255    -3056.8080518600
        1.7999956255    -3056.8020684200
        1.6999956255    -3056.7886204700
        1.5999956255    -3056.7632108800
        1.4999956255    -3056.7185132100
